TipoDocumentoVendedor;NúmeroDocumentoVendedor
CC;987654321
IDProducto1;9
IDProducto2;7
IDProducto3;7
CC;987654321
IDProducto1;10
IDProducto2;2
IDProducto3;8
CC;987654321
IDProducto1;3
IDProducto2;7
IDProducto3;10
CC;987654321
IDProducto1;10
IDProducto2;5
IDProducto3;6
CC;987654321
IDProducto1;3
IDProducto2;1
IDProducto3;2
CC;987654321
IDProducto1;3
IDProducto2;8
IDProducto3;9
CC;987654321
IDProducto1;10
IDProducto2;2
IDProducto3;4
CC;987654321
IDProducto1;8
IDProducto2;5
IDProducto3;3
CC;987654321
IDProducto1;6
IDProducto2;6
IDProducto3;2
CC;987654321
IDProducto1;2
IDProducto2;8
IDProducto3;8
